entropy,id,method,t,truth,user_id,y
0.5067728548897663,4,BIM,1909,1,10,0
0.617476314582611,5,BIM,2181,1,10,0
0.211127392311048,6,BIM_ENTROPY,1787,1,10,0
0.11083768637934698,7,BIM,2656,1,10,1
0.0685786512455118,8,NONE,3309,0,10,0
0.8492186888289841,9,BIM_ENTROPY,1361,1,10,0
0.7632017538953703,10,BIM,2573,1,10,0
0.2009597208084921,11,NONE,2282,0,10,0
0.23736870952226485,12,BIM,1972,1,10,1
0.8492186888289841,13,BIM,910,1,10,0
0.6980794398272951,14,NONE,1195,0,10,0
0.4418854375230702,15,BIM,908,1,10,0
0.13977472287782014,16,BIM_ENTROPY,1660,1,10,0
0.4900280757485934,17,BIM_ENTROPY,2220,1,10,0
0.2764174897372513,18,BIM_ENTROPY,941,1,10,0
0.17553494927349805,19,BIM_ENTROPY,1225,1,10,0
0.8175859330432546,20,BIM_ENTROPY,1302,1,10,0
0.09484233957114574,21,BIM_ENTROPY,1369,1,10,1
0.8828089171262067,22,BIM_ENTROPY,2297,1,10,0
0.8368362769991388,23,BIM_ENTROPY,986,1,10,0
0.15080368228543306,24,NONE,3355,0,10,0
0.184337982796613,25,NONE,1776,0,10,0
0.8175859330432546,26,NONE,1461,0,10,0
0.3962371785550497,27,BIM_ENTROPY,1615,1,10,0
0.4189438596883704,28,NONE,2890,0,10,0
0.2479949888703705,29,BIM_ENTROPY,1233,1,10,0
0.1170009284012483,30,BIM_ENTROPY,1769,1,10,1
0.13092694712587108,31,BIM_ENTROPY,1751,1,10,0
0.2961376270958938,32,NONE,3647,0,10,0
